<X>   <Y>   <dY>
0.0005  2444.71  0
0.0106939  2304.43  0
0.0208878  1945.45  0
0.0310816  1458.99  0
0.0412755  956.6  0
0.0514694  532.515  0
0.0616633  237.778  0
0.0718571  74.9722  0
0.082051  11.7142  0
0.0922449  3.12933  0
0.102439  11.6789  0
0.112633  16.8738  0
0.122827  14.186  0
0.13302  7.71825  0
0.143214  2.58706  0
0.153408  0.863008  0
0.163602  1.52662  0
0.173796  2.51816  0
0.18399  2.59032  0
0.194184  1.80499  0
0.204378  0.904858  0
0.214571  0.46412  0
0.224765  0.513574  0
0.234959  0.722738  0
0.245153  0.785537  0
0.255347  0.641633  0
0.265541  0.427287  0
0.275735  0.293628  0
0.285929  0.280783  0
0.296122  0.324961  0
0.306316  0.344927  0
0.31651  0.311641  0
0.326704  0.252124  0
0.336898  0.207613  0
0.347092  0.195185  0
0.357286  0.202126  0
0.36748  0.206155  0
0.377673  0.196362  0
0.387867  0.177841  0
0.398061  0.161912  0
0.408255  0.15473  0
0.418449  0.153985  0
0.428643  0.153569  0
0.438837  0.149715  0
0.449031  0.14316  0
0.459224  0.136957  0
0.469418  0.133171  0
0.479612  0.131509  0
0.489806  0.130324  0
0.5  0.128325  0
